date,year,month,category,state,county,title,fema_number
4/11/2023,2023,4,Flood,MN,Wabasha County,SEVERE STORMS AND FLOODING,4722
1/8/2023,2023,1,Flood,CA,Monterey County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Monterey County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/9/2023,2023,4,Flood,SD,Faulk County,FLOODING,4718
1/8/2023,2023,1,Flood,CA,San Francisco County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,San Francisco County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
6/8/2023,2023,6,Flood,CO,Kiowa County,"SEVERE STORMS, FLOODING, AND TORNADOES",4731
4/10/2023,2023,4,Flood,MT,Sheridan County,FLOODING,4726
2/15/2023,2023,2,Flood,KY,Powell County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
1/8/2023,2023,1,Flood,CA,Mendocino County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Mendocino County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
2/15/2023,2023,2,Flood,KY,Elliott County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
4/11/2023,2023,4,Flood,MN,Pope County,SEVERE STORMS AND FLOODING,4722
4/11/2023,2023,4,Flood,MN,Morrison County,SEVERE STORMS AND FLOODING,4722
1/8/2023,2023,1,Flood,CA,Madera County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Madera County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/11/2023,2023,4,Flood,MN,Norman County,SEVERE STORMS AND FLOODING,4722
2/15/2023,2023,2,Flood,KY,Owsley County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
1/8/2023,2023,1,Flood,CA,San Mateo County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,San Mateo County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/11/2023,2023,4,Flood,MN,Prairie Island Community Indian Reservation,SEVERE STORMS AND FLOODING,4722
7/9/2023,2023,7,Flood,VT,Franklin County,FLOODING,3595
7/7/2023,2023,7,Flood,VT,Franklin County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
2/15/2023,2023,2,Flood,KY,Lee County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
4/24/2023,2023,4,Flood,IA,Lee County,FLOODING,4732
1/8/2023,2023,1,Flood,CA,San Diego County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
4/10/2023,2023,4,Flood,MT,Hill County,FLOODING,4726
2/15/2023,2023,2,Flood,KY,Perry County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
3/9/2023,2023,3,Flood,CA,Butte County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/11/2023,2023,4,Flood,MN,Carlton County,SEVERE STORMS AND FLOODING,4722
4/11/2023,2023,4,Flood,MN,Swift County,SEVERE STORMS AND FLOODING,4722
6/1/2023,2023,6,Flood,MT,Treasure County,FLOODING,4745
4/10/2023,2023,4,Flood,ND,LaMoure County,FLOODING,4717
4/10/2023,2023,4,Flood,ND,Mountrail County,FLOODING,4717
4/11/2023,2023,4,Flood,MN,Mahnomen County,SEVERE STORMS AND FLOODING,4722
7/9/2023,2023,7,Flood,NH,Grafton County,SEVERE STORMS AND FLOODING,4740
2/15/2023,2023,2,Flood,KY,Harlan County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
4/11/2023,2023,4,Flood,MN,Grant County,SEVERE STORMS AND FLOODING,4722
1/8/2023,2023,1,Flood,CA,Glenn County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Glenn County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
6/1/2023,2023,6,Flood,MT,Musselshell County,FLOODING,4745
7/9/2023,2023,7,Flood,NH,Cheshire County,SEVERE STORMS AND FLOODING,4740
1/8/2023,2023,1,Flood,CA,Contra Costa County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/8/2023,2023,3,Flood,NV,Eureka County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708
1/8/2023,2023,1,Flood,CA,Fresno County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Fresno County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/10/2023,2023,4,Flood,MT,Valley County,FLOODING,4726
1/8/2023,2023,1,Flood,CA,Santa Clara County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Santa Clara County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
4/10/2023,2023,4,Flood,ND,Towner County,FLOODING,4717
6/1/2023,2023,6,Flood,MT,Fergus County,FLOODING,4745
4/10/2023,2023,4,Flood,ND,Pembina County,FLOODING,4717
5/12/2023,2023,5,Flood,AK,Yupiit Regional Educational Attendance Area,FLOODING,4730
4/10/2023,2023,4,Flood,ND,Golden Valley County,FLOODING,4717
4/10/2023,2023,4,Flood,ND,Barnes County,FLOODING,4717
7/9/2023,2023,7,Flood,VT,Chittenden County,FLOODING,3595
7/7/2023,2023,7,Flood,VT,Chittenden County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
4/11/2023,2023,4,Flood,MN,Clay County,SEVERE STORMS AND FLOODING,4722
1/8/2023,2023,1,Flood,CA,San Benito County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,San Benito County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
7/9/2023,2023,7,Flood,VT,Orange County,FLOODING,3595
7/7/2023,2023,7,Flood,VT,Orange County,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4720
1/8/2023,2023,1,Flood,CA,Stanislaus County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,Stanislaus County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
5/1/2023,2023,5,Flood,UT,Morgan County,FLOODING,4752
3/9/2023,2023,3,Flood,CA,Tuolumne County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
2/15/2023,2023,2,Flood,KY,Knott County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
4/9/2023,2023,4,Flood,SD,Potter County,FLOODING,4718
4/11/2023,2023,4,Flood,MN,Lac qui Parle County,SEVERE STORMS AND FLOODING,4722
4/10/2023,2023,4,Flood,ND,Dickey County,FLOODING,4717
4/11/2023,2023,4,Flood,MN,Traverse County,SEVERE STORMS AND FLOODING,4722
4/11/2023,2023,4,Flood,MN,Mille Lacs County,SEVERE STORMS AND FLOODING,4722
2/15/2023,2023,2,Flood,KY,Magoffin County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
1/8/2023,2023,1,Flood,CA,San Bernardino County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591
3/9/2023,2023,3,Flood,CA,San Bernardino County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592
7/9/2023,2023,7,Flood,NH,Coos County,SEVERE STORMS AND FLOODING,4740
5/12/2023,2023,5,Flood,AK,Kusilvak Census Area,FLOODING,4730
6/1/2023,2023,6,Flood,MT,Daniels County,FLOODING,4745
4/10/2023,2023,4,Flood,MT,Daniels County,FLOODING,4726
4/9/2023,2023,4,Flood,SD,Grant County,FLOODING,4718
2/15/2023,2023,2,Flood,KY,Bell County,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",4711
