date,year,month,category,state,county,title,fema_number,area(sq_miles),thousand_square_miles,first,last,change
3/8/2023,2023,3,Flood,NV,Storey County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708,"109,806",109.806,47.449090909090906,49.09818181818182,1.6490909090909156
3/8/2023,2023,3,Flood,NV,Mineral County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",4708,"109,806",109.806,47.449090909090906,49.09818181818182,1.6490909090909156
6/1/2023,2023,6,Flood,MT,Golden Valley County,FLOODING,4745,"145,556",145.556,39.494545454545445,40.31636363636364,0.8218181818181947
4/30/2023,2023,4,Flood,ME,Oxford County,SEVERE STORM AND FLOODING,4719,"30,865",30.865,37.914545454545454,40.99636363636364,3.0818181818181856
6/26/2023,2023,6,Flood,ME,Oxford County,SEVERE STORM AND FLOODING,4737,"30,865",30.865,37.914545454545454,40.99636363636364,3.0818181818181856
1/8/2023,2023,1,Flood,CA,Sutter County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
6/29/2023,2023,6,Flood,ME,Franklin County,SEVERE STORM AND FLOODING,4736,"30,865",30.865,37.914545454545454,40.99636363636364,3.0818181818181856
4/30/2023,2023,4,Flood,ME,Franklin County,SEVERE STORM AND FLOODING,4719,"30,865",30.865,37.914545454545454,40.99636363636364,3.0818181818181856
1/8/2023,2023,1,Flood,CA,San Luis Obispo County,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",3591,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
3/9/2023,2023,3,Flood,CA,San Luis Obispo County,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3592,"155,973",155.973,55.77454545454545,57.85454545454545,2.0799999999999983
4/30/2023,2023,4,Flood,ME,Somerset County,SEVERE STORM AND FLOODING,4719,"30,865",30.865,37.914545454545454,40.99636363636364,3.0818181818181856
4/30/2023,2023,4,Flood,ME,Kennebec County,SEVERE STORM AND FLOODING,4719,"30,865",30.865,37.914545454545454,40.99636363636364,3.0818181818181856
